,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,116.67399999999999,116.695,116.415,116.51299999999999,12738.75,2017-01-10,2017,01,10,116.05
1,10.01.2017 01:00:00.000 GMT+1100,116.514,116.53399999999999,116.15,116.414,16580.8809,2017-01-10,2017,01,10,116.05
2,10.01.2017 02:00:00.000 GMT+1100,116.413,116.556,116.23,116.47200000000001,14536.4404,2017-01-10,2017,01,10,116.05
3,10.01.2017 03:00:00.000 GMT+1100,116.471,116.516,115.959,116.081,15551.7002,2017-01-10,2017,01,10,116.05
4,10.01.2017 04:00:00.000 GMT+1100,116.08200000000001,116.274,116.027,116.169,10074.1104,2017-01-10,2017,01,10,116.05
5,10.01.2017 05:00:00.000 GMT+1100,116.17,116.28200000000001,116.081,116.27799999999999,7058.77,2017-01-10,2017,01,10,116.05
6,10.01.2017 06:00:00.000 GMT+1100,116.28200000000001,116.29,116.04299999999999,116.056,9487.6299,2017-01-10,2017,01,10,116.05
7,10.01.2017 07:00:00.000 GMT+1100,116.06,116.189,115.999,116.03,8088.6802,2017-01-10,2017,01,10,116.05
8,10.01.2017 08:00:00.000 GMT+1100,116.03299999999999,116.1,115.993,116.01100000000001,3417.78,2017-01-10,2017,01,10,116.05
9,10.01.2017 09:00:00.000 GMT+1100,116.01,116.01,115.649,115.919,3321.27,2017-01-10,2017,01,10,116.05
10,10.01.2017 10:00:00.000 GMT+1100,115.919,116.089,115.885,115.986,7348.0098,2017-01-10,2017,01,10,116.05
11,10.01.2017 11:00:00.000 GMT+1100,115.986,116.088,115.818,116.024,10862.7197,2017-01-10,2017,01,10,116.05
12,10.01.2017 12:00:00.000 GMT+1100,116.022,116.134,115.84700000000001,116.11399999999999,10181.5596,2017-01-10,2017,01,10,116.05
13,10.01.2017 13:00:00.000 GMT+1100,116.113,116.21,115.48299999999999,115.62899999999999,14814.1602,2017-01-10,2017,01,10,116.05
14,10.01.2017 14:00:00.000 GMT+1100,115.62899999999999,115.70200000000001,115.198,115.34299999999999,15129.29,2017-01-10,2017,01,10,116.05
15,10.01.2017 15:00:00.000 GMT+1100,115.344,115.48700000000001,115.27799999999999,115.465,10356.8301,2017-01-10,2017,01,10,116.05
16,10.01.2017 16:00:00.000 GMT+1100,115.462,115.684,115.447,115.571,10134.9102,2017-01-10,2017,01,10,116.05
17,10.01.2017 17:00:00.000 GMT+1100,115.57600000000001,115.79700000000001,115.38799999999999,115.758,10621.1504,2017-01-10,2017,01,10,116.05
