,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,85.469,85.539,85.404,85.477,9811.8701,2017-01-10,2017,1,10,85.344,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,85.475,85.49,85.305,85.45700000000002,11266.5098,2017-01-10,2017,1,10,85.344,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,85.45700000000002,85.559,85.366,85.54799999999999,10701.7305,2017-01-10,2017,1,10,85.344,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,85.546,85.725,85.391,85.46799999999998,11396.0898,2017-01-10,2017,1,10,85.344,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,85.46799999999998,85.626,85.445,85.603,6201.1001,2017-01-10,2017,1,10,85.344,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,85.602,85.633,85.557,85.596,4483.2998,2017-01-10,2017,1,10,85.344,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,85.595,85.602,85.40100000000002,85.40799999999999,5301.8901,2017-01-10,2017,1,10,85.344,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,85.40899999999998,85.462,85.34899999999998,85.353,4858.7402,2017-01-10,2017,1,10,85.344,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,85.354,85.39399999999998,85.29,85.305,2477.9199,2017-01-10,2017,1,10,85.344,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,85.30799999999998,85.31,85.04299999999998,85.305,3537.79,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,85.307,85.397,85.262,85.318,5762.4199,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,85.318,85.353,85.166,85.185,7442.29,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,85.18299999999998,85.32,85.083,85.32,7358.3398,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,85.32,85.399,85.145,85.265,11183.5801,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,85.26799999999999,85.336,85.051,85.115,10542.0898,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,85.115,85.164,85.04799999999999,85.137,6847.6602,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,85.137,85.23700000000002,85.109,85.215,6619.77,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,85.21700000000001,85.259,85.116,85.215,7057.5,2017-01-10,2017,1,10,85.344,2270.1,2270.1,2270.1,2270.1,0.0
18,18,10.01.2017 18:00:00.000 GMT+1100,85.215,85.31299999999997,85.137,85.31,8286.5596,2017-01-10,2017,1,10,85.344,2267.59,2269.34,2267.42,2269.09,0.9991
19,19,10.01.2017 19:00:00.000 GMT+1100,85.311,85.41799999999998,85.119,85.16799999999998,10279.7598,2017-01-10,2017,1,10,85.344,2269.09,2271.1,2267.589,2268.469,2.1706
20,20,10.01.2017 20:00:00.000 GMT+1100,85.17,85.28,85.15799999999999,85.236,8810.8701,2017-01-10,2017,1,10,85.344,2268.369,2269.909,2268.34,2269.849,1.4698
21,21,10.01.2017 21:00:00.000 GMT+1100,85.236,85.329,85.197,85.234,7534.23,2017-01-10,2017,1,10,85.344,2269.769,2271.669,2269.349,2271.34,1.3880000000000001
22,22,10.01.2017 22:00:00.000 GMT+1100,85.23299999999998,85.265,85.14299999999999,85.164,6218.23,2017-01-10,2017,1,10,85.344,2271.34,2271.34,2270.09,2270.34,0.6358
23,23,10.01.2017 23:00:00.000 GMT+1100,85.165,85.291,85.09200000000001,85.26299999999998,8366.9805,2017-01-10,2017,1,10,85.344,2270.26,2271.16,2269.58,2269.619,0.7428
24,24,11.01.2017 00:00:00.000 GMT+1100,85.262,85.359,85.23299999999998,85.285,8114.3799,2017-01-11,2017,1,11,85.319,2269.619,2270.84,2268.839,2269.59,0.8832
25,25,11.01.2017 01:00:00.000 GMT+1100,85.287,85.35600000000002,85.139,85.21,11774.9805,2017-01-11,2017,1,11,85.319,2269.59,2270.35,2264.839,2267.339,2.3146
26,26,11.01.2017 02:00:00.000 GMT+1100,85.21,85.28,85.12200000000001,85.219,12554.6602,2017-01-11,2017,1,11,85.319,2267.339,2272.59,2267.089,2271.34,2.682
27,27,11.01.2017 03:00:00.000 GMT+1100,85.22200000000002,85.34200000000001,85.12,85.309,11026.1602,2017-01-11,2017,1,11,85.319,2271.34,2277.64,2271.339,2276.359,2.4003
28,28,11.01.2017 04:00:00.000 GMT+1100,85.31,85.404,85.243,85.29899999999998,7184.5601,2017-01-11,2017,1,11,85.319,2276.359,2279.09,2276.09,2276.599,1.8239
29,29,11.01.2017 05:00:00.000 GMT+1100,85.29700000000003,85.33200000000002,85.198,85.208,5451.2202,2017-01-11,2017,1,11,85.319,2276.599,2277.34,2270.469,2271.099,1.2871
30,30,11.01.2017 06:00:00.000 GMT+1100,85.20700000000002,85.295,85.16799999999998,85.28299999999999,5300.8901,2017-01-11,2017,1,11,85.319,2271.099,2272.1,2268.599,2270.769,1.4781
31,31,11.01.2017 07:00:00.000 GMT+1100,85.28299999999999,85.292,85.208,85.223,3946.6001,2017-01-11,2017,1,11,85.319,2270.719,2274.1,2268.3520000000003,2269.019,1.4136
32,32,11.01.2017 08:00:00.000 GMT+1100,85.22399999999998,85.34200000000001,85.22200000000002,85.288,2740.5,2017-01-11,2017,1,11,85.319,2269.1,2269.349,2268.849,2269.349,0.0016
33,33,11.01.2017 09:00:00.000 GMT+1100,85.29299999999998,85.333,85.21799999999998,85.287,2150.0901,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
34,34,11.01.2017 10:00:00.000 GMT+1100,85.287,85.33200000000002,85.24700000000001,85.271,3152.3899,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
35,35,11.01.2017 11:00:00.000 GMT+1100,85.271,85.35600000000002,85.228,85.34700000000002,6975.23,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
36,36,11.01.2017 12:00:00.000 GMT+1100,85.34899999999998,85.417,85.323,85.396,7898.3101,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
37,37,11.01.2017 13:00:00.000 GMT+1100,85.396,85.637,85.37299999999998,85.609,7884.6201,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
38,38,11.01.2017 14:00:00.000 GMT+1100,85.61,85.65,85.537,85.605,7026.6499,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
39,39,11.01.2017 15:00:00.000 GMT+1100,85.602,85.68799999999997,85.589,85.661,6456.9199,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
40,40,11.01.2017 16:00:00.000 GMT+1100,85.661,85.67200000000003,85.522,85.559,6059.1699,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
41,41,11.01.2017 17:00:00.000 GMT+1100,85.559,85.74600000000002,85.499,85.721,6342.6499,2017-01-11,2017,1,11,85.319,2269.349,2269.349,2269.349,2269.349,0.0
42,42,11.01.2017 18:00:00.000 GMT+1100,85.723,85.74600000000002,85.595,85.73299999999998,7100.23,2017-01-11,2017,1,11,85.319,2267.27,2268.09,2267.124,2267.589,0.4633
43,43,11.01.2017 19:00:00.000 GMT+1100,85.734,85.75200000000002,85.583,85.67399999999998,8790.6201,2017-01-11,2017,1,11,85.319,2267.813,2268.59,2265.09,2265.589,0.9219
44,44,11.01.2017 20:00:00.000 GMT+1100,85.67399999999998,85.791,85.632,85.738,7711.77,2017-01-11,2017,1,11,85.319,2265.589,2270.09,2265.339,2269.839,1.2845
45,45,11.01.2017 21:00:00.000 GMT+1100,85.738,85.906,85.729,85.899,8136.73,2017-01-11,2017,1,11,85.319,2269.839,2270.34,2269.089,2269.6,1.1416
46,46,11.01.2017 22:00:00.000 GMT+1100,85.897,85.947,85.83,85.897,6766.0,2017-01-11,2017,1,11,85.319,2269.59,2270.6,2268.339,2270.52,1.0415
47,47,11.01.2017 23:00:00.000 GMT+1100,85.898,85.92299999999999,85.73,85.766,8137.0898,2017-01-11,2017,1,11,85.319,2270.52,2270.6,2266.349,2266.349,1.3163
48,48,12.01.2017 00:00:00.000 GMT+1100,85.766,85.787,85.665,85.711,9090.0303,2017-01-12,2017,1,12,85.884,2266.349,2267.64,2266.02,2267.129,1.2394
49,49,12.01.2017 01:00:00.000 GMT+1100,85.711,85.948,85.711,85.928,10715.5801,2017-01-12,2017,1,12,85.884,2267.13,2272.6,2267.099,2272.35,2.426
50,50,12.01.2017 02:00:00.000 GMT+1100,85.928,86.01700000000002,85.861,85.969,13231.4805,2017-01-12,2017,1,12,85.884,2272.35,2274.11,2269.339,2271.34,3.1195
51,51,12.01.2017 03:00:00.000 GMT+1100,85.96700000000001,86.046,85.67399999999998,86.027,20487.8594,2017-01-12,2017,1,12,85.884,2271.34,2274.84,2260.35,2271.349,4.3193
52,52,12.01.2017 04:00:00.000 GMT+1100,86.022,86.09299999999998,85.68299999999998,85.734,20966.6406,2017-01-12,2017,1,12,85.884,2271.349,2272.85,2262.79,2267.349,3.1175
