,Unnamed: 0,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open,Open_sp,High_sp,Low_sp,Close_sp,Volume_sp
0,0,10.01.2017 00:00:00.000 GMT+1100,1.7411900000000002,1.74145,1.73592,1.73606,12864.6104,2017-01-10,2017,1,10,1.7334,2275.35,2275.849,2273.099,2273.849,1.44
1,1,10.01.2017 01:00:00.000 GMT+1100,1.73612,1.73701,1.73382,1.73554,13391.4297,2017-01-10,2017,1,10,1.7334,2273.849,2274.1,2268.849,2271.339,3.4139
2,2,10.01.2017 02:00:00.000 GMT+1100,1.73554,1.7380099999999998,1.7334200000000002,1.73405,12016.7998,2017-01-10,2017,1,10,1.7334,2271.399,2274.84,2269.339,2274.339,3.2731
3,3,10.01.2017 03:00:00.000 GMT+1100,1.73407,1.7371599999999998,1.72891,1.7311299999999998,9724.9004,2017-01-10,2017,1,10,1.7334,2274.16,2275.42,2271.84,2273.09,1.4280000000000002
4,4,10.01.2017 04:00:00.000 GMT+1100,1.7311299999999998,1.73199,1.72751,1.73039,6346.4399,2017-01-10,2017,1,10,1.7334,2273.11,2274.84,2271.589,2274.089,0.9213
5,5,10.01.2017 05:00:00.000 GMT+1100,1.7303099999999998,1.73168,1.72992,1.7316200000000002,5726.6401,2017-01-10,2017,1,10,1.7334,2274.34,2274.589,2271.099,2272.34,1.6216
6,6,10.01.2017 06:00:00.000 GMT+1100,1.73167,1.7334200000000002,1.73151,1.73302,4331.3501,2017-01-10,2017,1,10,1.7334,2272.34,2272.59,2269.099,2270.349,1.8739
7,7,10.01.2017 07:00:00.000 GMT+1100,1.73312,1.73372,1.7326099999999998,1.73361,4108.0698,2017-01-10,2017,1,10,1.7334,2270.599,2272.6,2269.349,2269.599,1.7842
8,8,10.01.2017 08:00:00.000 GMT+1100,1.7336200000000002,1.73448,1.7323099999999998,1.73292,2715.9299,2017-01-10,2017,1,10,1.7334,2269.849,2270.1,2269.849,2270.1,0.002
9,9,10.01.2017 09:00:00.000 GMT+1100,1.73242,1.73466,1.73058,1.73417,1434.3101,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
10,10,10.01.2017 10:00:00.000 GMT+1100,1.73422,1.73543,1.73341,1.73507,5591.79,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
11,11,10.01.2017 11:00:00.000 GMT+1100,1.73512,1.73512,1.7306099999999998,1.73322,6956.0601,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
12,12,10.01.2017 12:00:00.000 GMT+1100,1.73321,1.73348,1.73012,1.73085,6916.4702,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
13,13,10.01.2017 13:00:00.000 GMT+1100,1.7308400000000002,1.73252,1.7279099999999998,1.72921,10064.6104,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
14,14,10.01.2017 14:00:00.000 GMT+1100,1.72922,1.73022,1.72672,1.72842,9803.0498,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
15,15,10.01.2017 15:00:00.000 GMT+1100,1.7284099999999998,1.7290299999999998,1.7266099999999998,1.72768,7993.8599,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
16,16,10.01.2017 16:00:00.000 GMT+1100,1.72767,1.73012,1.7271299999999998,1.72843,8215.8398,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
17,17,10.01.2017 17:00:00.000 GMT+1100,1.72849,1.72982,1.72681,1.72938,8833.5098,2017-01-10,2017,1,10,1.7334,2270.1,2270.1,2270.1,2270.1,0.0
