,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.7411900000000002,1.74145,1.7359200000000001,1.73606,12864.6104,2017-01-10,2017,01,10,1.7334
1,10.01.2017 01:00:00.000 GMT+1100,1.73612,1.73701,1.7338200000000001,1.73554,13391.4297,2017-01-10,2017,01,10,1.7334
2,10.01.2017 02:00:00.000 GMT+1100,1.73554,1.7380099999999998,1.7334200000000002,1.73405,12016.7998,2017-01-10,2017,01,10,1.7334
3,10.01.2017 03:00:00.000 GMT+1100,1.73407,1.7371599999999998,1.72891,1.7311299999999998,9724.9004,2017-01-10,2017,01,10,1.7334
4,10.01.2017 04:00:00.000 GMT+1100,1.7311299999999998,1.7319900000000001,1.7275099999999999,1.73039,6346.4399,2017-01-10,2017,01,10,1.7334
5,10.01.2017 05:00:00.000 GMT+1100,1.7303099999999998,1.7316799999999999,1.7299200000000001,1.7316200000000002,5726.6401,2017-01-10,2017,01,10,1.7334
6,10.01.2017 06:00:00.000 GMT+1100,1.73167,1.7334200000000002,1.7315099999999999,1.73302,4331.3501,2017-01-10,2017,01,10,1.7334
7,10.01.2017 07:00:00.000 GMT+1100,1.73312,1.7337200000000001,1.7326099999999998,1.7336099999999999,4108.0698,2017-01-10,2017,01,10,1.7334
8,10.01.2017 08:00:00.000 GMT+1100,1.7336200000000002,1.73448,1.7323099999999998,1.73292,2715.9299,2017-01-10,2017,01,10,1.7334
9,10.01.2017 09:00:00.000 GMT+1100,1.73242,1.7346599999999999,1.73058,1.73417,1434.3101,2017-01-10,2017,01,10,1.7334
10,10.01.2017 10:00:00.000 GMT+1100,1.73422,1.73543,1.73341,1.7350700000000001,5591.79,2017-01-10,2017,01,10,1.7334
11,10.01.2017 11:00:00.000 GMT+1100,1.73512,1.73512,1.7306099999999998,1.73322,6956.0601,2017-01-10,2017,01,10,1.7334
12,10.01.2017 12:00:00.000 GMT+1100,1.73321,1.73348,1.73012,1.73085,6916.4702,2017-01-10,2017,01,10,1.7334
13,10.01.2017 13:00:00.000 GMT+1100,1.7308400000000002,1.73252,1.7279099999999998,1.72921,10064.6104,2017-01-10,2017,01,10,1.7334
14,10.01.2017 14:00:00.000 GMT+1100,1.72922,1.73022,1.72672,1.72842,9803.0498,2017-01-10,2017,01,10,1.7334
15,10.01.2017 15:00:00.000 GMT+1100,1.7284099999999998,1.7290299999999998,1.7266099999999998,1.7276799999999999,7993.8599,2017-01-10,2017,01,10,1.7334
16,10.01.2017 16:00:00.000 GMT+1100,1.72767,1.73012,1.7271299999999998,1.72843,8215.8398,2017-01-10,2017,01,10,1.7334
17,10.01.2017 17:00:00.000 GMT+1100,1.72849,1.7298200000000001,1.72681,1.72938,8833.5098,2017-01-10,2017,01,10,1.7334
18,10.01.2017 18:00:00.000 GMT+1100,1.7293900000000002,1.73412,1.72921,1.73222,9868.7998,2017-01-10,2017,01,10,1.7334
19,10.01.2017 19:00:00.000 GMT+1100,1.73222,1.73282,1.7267400000000002,1.7278,13491.5703,2017-01-10,2017,01,10,1.7334
20,10.01.2017 20:00:00.000 GMT+1100,1.7278,1.73543,1.72745,1.7353,10978.3701,2017-01-10,2017,01,10,1.7334
21,10.01.2017 21:00:00.000 GMT+1100,1.73527,1.73705,1.73365,1.73512,10757.2002,2017-01-10,2017,01,10,1.7334
22,10.01.2017 22:00:00.000 GMT+1100,1.73512,1.74175,1.73426,1.74127,10018.9297,2017-01-10,2017,01,10,1.7334
23,10.01.2017 23:00:00.000 GMT+1100,1.74128,1.7458,1.7401900000000001,1.74368,9873.7305,2017-01-10,2017,01,10,1.7334
24,11.01.2017 00:00:00.000 GMT+1100,1.74368,1.7454599999999998,1.7428,1.7431599999999998,10822.8701,2017-01-11,2017,01,11,1.74225
25,11.01.2017 01:00:00.000 GMT+1100,1.7431400000000001,1.7444400000000002,1.7366400000000002,1.73741,12429.71,2017-01-11,2017,01,11,1.74225
26,11.01.2017 02:00:00.000 GMT+1100,1.7375200000000002,1.74049,1.7362,1.73985,13558.71,2017-01-11,2017,01,11,1.74225
27,11.01.2017 03:00:00.000 GMT+1100,1.73986,1.7407099999999998,1.7376599999999998,1.7388099999999997,11960.9502,2017-01-11,2017,01,11,1.74225
28,11.01.2017 04:00:00.000 GMT+1100,1.73882,1.74101,1.7382799999999998,1.73965,7972.6201,2017-01-11,2017,01,11,1.74225
29,11.01.2017 05:00:00.000 GMT+1100,1.73965,1.74222,1.73948,1.74132,5757.6001,2017-01-11,2017,01,11,1.74225
30,11.01.2017 06:00:00.000 GMT+1100,1.7414,1.7416099999999999,1.73932,1.7400400000000003,5098.1499,2017-01-11,2017,01,11,1.74225
31,11.01.2017 07:00:00.000 GMT+1100,1.7400400000000003,1.741,1.7392,1.74032,4214.77,2017-01-11,2017,01,11,1.74225
32,11.01.2017 08:00:00.000 GMT+1100,1.74032,1.7431599999999998,1.73938,1.7415599999999998,3155.4399,2017-01-11,2017,01,11,1.74225
33,11.01.2017 09:00:00.000 GMT+1100,1.74121,1.7419900000000001,1.7397200000000002,1.74183,543.95,2017-01-11,2017,01,11,1.74225
34,11.01.2017 10:00:00.000 GMT+1100,1.74183,1.74321,1.7410700000000001,1.74321,2205.8,2017-01-11,2017,01,11,1.74225
35,11.01.2017 11:00:00.000 GMT+1100,1.7431900000000002,1.74754,1.74302,1.74472,6432.25,2017-01-11,2017,01,11,1.74225
36,11.01.2017 12:00:00.000 GMT+1100,1.74472,1.74645,1.7428599999999999,1.74353,7826.6001,2017-01-11,2017,01,11,1.74225
37,11.01.2017 13:00:00.000 GMT+1100,1.74353,1.74394,1.7401099999999998,1.7403400000000002,6722.7002,2017-01-11,2017,01,11,1.74225
38,11.01.2017 14:00:00.000 GMT+1100,1.74042,1.74115,1.73879,1.73927,7490.6299,2017-01-11,2017,01,11,1.74225
39,11.01.2017 15:00:00.000 GMT+1100,1.7392299999999998,1.74015,1.73795,1.73902,5173.3398,2017-01-11,2017,01,11,1.74225
40,11.01.2017 16:00:00.000 GMT+1100,1.73902,1.74022,1.73702,1.7376200000000002,6742.4399,2017-01-11,2017,01,11,1.74225
41,11.01.2017 17:00:00.000 GMT+1100,1.7376099999999999,1.73868,1.7348299999999999,1.73495,6176.6299,2017-01-11,2017,01,11,1.74225
42,11.01.2017 18:00:00.000 GMT+1100,1.73502,1.73852,1.7342799999999998,1.73672,7676.3799,2017-01-11,2017,01,11,1.74225
43,11.01.2017 19:00:00.000 GMT+1100,1.73672,1.7380200000000001,1.73222,1.7325599999999999,10167.4697,2017-01-11,2017,01,11,1.74225
44,11.01.2017 20:00:00.000 GMT+1100,1.73252,1.73512,1.72753,1.7295200000000002,10493.0195,2017-01-11,2017,01,11,1.74225
45,11.01.2017 21:00:00.000 GMT+1100,1.7295200000000002,1.7345599999999999,1.7266099999999998,1.73422,10304.1504,2017-01-11,2017,01,11,1.74225
46,11.01.2017 22:00:00.000 GMT+1100,1.73422,1.73663,1.73062,1.73196,8914.4805,2017-01-11,2017,01,11,1.74225
47,11.01.2017 23:00:00.000 GMT+1100,1.7319799999999999,1.73435,1.73101,1.73292,10370.5596,2017-01-11,2017,01,11,1.74225
48,12.01.2017 00:00:00.000 GMT+1100,1.73302,1.7337200000000001,1.73111,1.73253,11700.9199,2017-01-12,2017,01,12,1.73117
49,12.01.2017 01:00:00.000 GMT+1100,1.73253,1.73453,1.73125,1.7335099999999999,13610.7803,2017-01-12,2017,01,12,1.73117
50,12.01.2017 02:00:00.000 GMT+1100,1.7335099999999999,1.73715,1.72822,1.7296,15498.1104,2017-01-12,2017,01,12,1.73117
51,12.01.2017 03:00:00.000 GMT+1100,1.72963,1.7317099999999999,1.7264099999999998,1.72907,20367.9492,2017-01-12,2017,01,12,1.73117
52,12.01.2017 04:00:00.000 GMT+1100,1.7290400000000001,1.73157,1.7255099999999999,1.7266700000000001,18350.1191,2017-01-12,2017,01,12,1.73117
53,12.01.2017 05:00:00.000 GMT+1100,1.7266700000000001,1.7328400000000002,1.7234099999999999,1.7309,20397.1895,2017-01-12,2017,01,12,1.73117
54,12.01.2017 06:00:00.000 GMT+1100,1.7308599999999998,1.7337200000000001,1.73043,1.73082,12039.9502,2017-01-12,2017,01,12,1.73117
55,12.01.2017 07:00:00.000 GMT+1100,1.7307099999999997,1.7311900000000002,1.72932,1.72993,7451.1899,2017-01-12,2017,01,12,1.73117
56,12.01.2017 08:00:00.000 GMT+1100,1.72993,1.73153,1.72911,1.73027,3165.6499,2017-01-12,2017,01,12,1.73117
57,12.01.2017 09:00:00.000 GMT+1100,1.7302099999999998,1.73122,1.72838,1.72934,577.99,2017-01-12,2017,01,12,1.73117
58,12.01.2017 10:00:00.000 GMT+1100,1.72934,1.7296200000000002,1.72662,1.7278900000000001,4538.0898,2017-01-12,2017,01,12,1.73117
59,12.01.2017 11:00:00.000 GMT+1100,1.7278200000000001,1.72862,1.72501,1.7263400000000002,9096.4902,2017-01-12,2017,01,12,1.73117
60,12.01.2017 12:00:00.000 GMT+1100,1.7263400000000002,1.7278200000000001,1.7237099999999999,1.72395,9525.75,2017-01-12,2017,01,12,1.73117
61,12.01.2017 13:00:00.000 GMT+1100,1.7239200000000001,1.72495,1.72157,1.7247299999999999,10390.0195,2017-01-12,2017,01,12,1.73117
62,12.01.2017 14:00:00.000 GMT+1100,1.72472,1.7259200000000001,1.72393,1.72465,7983.3999,2017-01-12,2017,01,12,1.73117
63,12.01.2017 15:00:00.000 GMT+1100,1.7246099999999998,1.7267299999999999,1.72452,1.72482,8014.8301,2017-01-12,2017,01,12,1.73117
64,12.01.2017 16:00:00.000 GMT+1100,1.72492,1.72672,1.72459,1.7248599999999998,6939.21,2017-01-12,2017,01,12,1.73117
65,12.01.2017 17:00:00.000 GMT+1100,1.7248400000000002,1.7270900000000002,1.7240099999999998,1.7257200000000001,8336.5195,2017-01-12,2017,01,12,1.73117
66,12.01.2017 18:00:00.000 GMT+1100,1.7257200000000001,1.7275200000000002,1.72377,1.72629,10928.9102,2017-01-12,2017,01,12,1.73117
67,12.01.2017 19:00:00.000 GMT+1100,1.72635,1.72725,1.72281,1.7257099999999999,14148.1797,2017-01-12,2017,01,12,1.73117
68,12.01.2017 20:00:00.000 GMT+1100,1.7257099999999999,1.72692,1.7211,1.7217200000000001,11836.9404,2017-01-12,2017,01,12,1.73117
69,12.01.2017 21:00:00.000 GMT+1100,1.7217099999999999,1.72531,1.72125,1.72427,9374.0498,2017-01-12,2017,01,12,1.73117
70,12.01.2017 22:00:00.000 GMT+1100,1.72427,1.7267299999999999,1.7235099999999999,1.7261099999999998,9541.1797,2017-01-12,2017,01,12,1.73117
71,12.01.2017 23:00:00.000 GMT+1100,1.7261099999999998,1.7280200000000001,1.7236200000000002,1.72622,10700.5098,2017-01-12,2017,01,12,1.73117
72,13.01.2017 00:00:00.000 GMT+1100,1.72622,1.72692,1.72334,1.72422,12015.9102,2017-01-13,2017,01,13,1.7132
73,13.01.2017 01:00:00.000 GMT+1100,1.7243099999999998,1.72532,1.7200099999999998,1.72184,13169.5801,2017-01-13,2017,01,13,1.7132
74,13.01.2017 02:00:00.000 GMT+1100,1.72184,1.7224700000000002,1.7130299999999998,1.71522,15777.0498,2017-01-13,2017,01,13,1.7132
75,13.01.2017 03:00:00.000 GMT+1100,1.71521,1.7170299999999998,1.7097099999999998,1.7106700000000001,14815.5098,2017-01-13,2017,01,13,1.7132
76,13.01.2017 04:00:00.000 GMT+1100,1.71068,1.71125,1.70692,1.70783,9012.2305,2017-01-13,2017,01,13,1.7132
77,13.01.2017 05:00:00.000 GMT+1100,1.70773,1.70871,1.70502,1.70642,9210.4404,2017-01-13,2017,01,13,1.7132
78,13.01.2017 06:00:00.000 GMT+1100,1.7064400000000002,1.7102099999999998,1.70521,1.71005,7588.0698,2017-01-13,2017,01,13,1.7132
79,13.01.2017 07:00:00.000 GMT+1100,1.71002,1.7115799999999999,1.70911,1.71022,7624.96,2017-01-13,2017,01,13,1.7132
80,13.01.2017 08:00:00.000 GMT+1100,1.71022,1.71363,1.70975,1.71307,2995.0,2017-01-13,2017,01,13,1.7132
81,13.01.2017 09:00:00.000 GMT+1100,1.7130900000000002,1.7142,1.70992,1.71085,1328.63,2017-01-13,2017,01,13,1.7132
82,13.01.2017 10:00:00.000 GMT+1100,1.7108700000000001,1.71177,1.7085099999999998,1.71013,4807.1099,2017-01-13,2017,01,13,1.7132
83,13.01.2017 11:00:00.000 GMT+1100,1.71013,1.7105099999999998,1.7074099999999999,1.7095200000000002,6933.46,2017-01-13,2017,01,13,1.7132
84,13.01.2017 12:00:00.000 GMT+1100,1.7094099999999999,1.7113200000000002,1.7085299999999999,1.70898,7983.9902,2017-01-13,2017,01,13,1.7132
85,13.01.2017 13:00:00.000 GMT+1100,1.7089900000000002,1.71102,1.7083099999999998,1.71072,7940.3799,2017-01-13,2017,01,13,1.7132
86,13.01.2017 14:00:00.000 GMT+1100,1.71071,1.71144,1.7083099999999998,1.7093200000000002,6603.1401,2017-01-13,2017,01,13,1.7132
