,Local time,Open,High,Low,Close,Volume,final_date,year,month,day,oanda_open
0,10.01.2017 00:00:00.000 GMT+1100,1.01829,1.01949,1.0170299999999999,1.01767,8040.4502,2017-01-10,2017,01,10,1.01526
1,10.01.2017 01:00:00.000 GMT+1100,1.01766,1.01814,1.01619,1.01767,10376.79,2017-01-10,2017,01,10,1.01526
2,10.01.2017 02:00:00.000 GMT+1100,1.01768,1.0179799999999999,1.01547,1.0165799999999998,9095.7002,2017-01-10,2017,01,10,1.01526
3,10.01.2017 03:00:00.000 GMT+1100,1.0165600000000001,1.0165600000000001,1.0141200000000001,1.0148,8413.5,2017-01-10,2017,01,10,1.01526
4,10.01.2017 04:00:00.000 GMT+1100,1.01481,1.01581,1.01435,1.0151,6160.0498,2017-01-10,2017,01,10,1.01526
5,10.01.2017 05:00:00.000 GMT+1100,1.01509,1.01594,1.01481,1.01591,5053.4502,2017-01-10,2017,01,10,1.01526
6,10.01.2017 06:00:00.000 GMT+1100,1.01593,1.01593,1.01423,1.0143799999999998,4708.77,2017-01-10,2017,01,10,1.01526
7,10.01.2017 07:00:00.000 GMT+1100,1.0143799999999998,1.01606,1.01434,1.015,5638.8198,2017-01-10,2017,01,10,1.01526
8,10.01.2017 08:00:00.000 GMT+1100,1.01501,1.01529,1.01472,1.01511,1081.13,2017-01-10,2017,01,10,1.01526
9,10.01.2017 09:00:00.000 GMT+1100,1.01485,1.01522,1.0129700000000001,1.01387,1139.01,2017-01-10,2017,01,10,1.01526
10,10.01.2017 10:00:00.000 GMT+1100,1.0139,1.01451,1.0138,1.01426,4396.5801,2017-01-10,2017,01,10,1.01526
11,10.01.2017 11:00:00.000 GMT+1100,1.01427,1.01447,1.01318,1.01406,4621.5801,2017-01-10,2017,01,10,1.01526
12,10.01.2017 12:00:00.000 GMT+1100,1.01405,1.01526,1.01362,1.01496,4052.6201,2017-01-10,2017,01,10,1.01526
13,10.01.2017 13:00:00.000 GMT+1100,1.0149700000000001,1.01521,1.01207,1.01252,5742.5601,2017-01-10,2017,01,10,1.01526
14,10.01.2017 14:00:00.000 GMT+1100,1.01252,1.0129299999999999,1.01102,1.01165,6742.7798,2017-01-10,2017,01,10,1.01526
